# Unregistered IVSes: 479 Default + 506 Non-Default
340C E0100; uni340C
340C E0101; uF0736
3582 E0100; uni3582
3582 E0101; uF1D67
358F E0100; uni358F
358F E0101; uF00A2
35D4 E0100; uni35D4
35D4 E0101; uF0B12
35F6 E0100; uni35F6
35F6 E0101; uF00D3
3779 E0100; uni3779
3779 E0101; uF0149
3A33 E0100; uni3A33
3A33 E0101; uF1D2E
3A62 E0100; uni3A62
3A62 E0101; uF023E
3BC2 E0100; uni3BC2
3BC2 E0101; uF1969
422A E0100; uni422A
422A E0101; uF0C89
43D9 E0100; uni43D9
43D9 E0101; uF0CB0
43FE E0100; uni43FE
43FE E0101; uF07B5
4427 E0100; uni4427
4427 E0101; uF0B5F
458D E0100; uni458D
458D E0101; uF09CD
465B E0100; uni465B
465B E0101; uF0534
4A46 E0100; uni4A46
4A46 E0101; uF0619
4C5A E0100; uni4C5A
4C5A E0101; uF0674
4E2A E0100; uni4E2A
4E2A E0101; uF0976
4EDD E0100; uni4EDD
4EDD E0101; uF2532
5038 E0100; uni5038
5038 E0101; uF0027
505C E0100; uni505C
505C E0101; uF2602
515C E0100; uni515C
515C E0101; uF0832
5198 E0100; uni5198
5198 E0101; uF0042
5198 E0102; uF071C
5198 E0103; uF0761
5198 E0104; uF0A66
51E1 E0100; uni51E1
51E1 E0101; uF20CF
5305 E0100; uni5305
5305 E0101; uF2550
539B E0100; uni539B
539B E0101; uF018B
54B8 E0100; uni54B8
54B8 E0101; uF09AD
5544 E0100; uni5544
5544 E0101; uF0089
5549 E0100; uni5549
5549 E0101; uF1EF6
55C3 E0100; uni55C3
55C3 E0101; uF00BB
5614 E0100; uni5614
5614 E0101; uF077D
5645 E0100; uni5645
5645 E0101; uF20B0
56A6 E0100; uni56A6
56A6 E0101; uF0B16
57F0 E0100; uni57F0
57F0 E0101; uF00FD
5859 E0100; uni5859
5859 E0101; uF010A
5886 E0100; uni5886
5886 E0101; uF179D
5916 E0100; uni5916
5916 E0101; uF20EF
5922 E0100; uni5922
5922 E0101; uF0223
5947 E0100; uni5947
5947 E0101; uF253B
5956 E0100; uni5956
5956 E0101; uF0120
5B34 E0100; uni5B34
5B34 E0101; uF0131
